state,county,tract,block group,NAME,B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
53,033,007300,3,"Block Group 3, Census Tract 73, King County, Washington",2700,33,0,25,20,52,0,0,0,0,0,0,0
53,033,007300,2,"Block Group 2, Census Tract 73, King County, Washington",2090,0,0,0,17,46,82,3,85,53,103,71,90
53,033,007600,2,"Block Group 2, Census Tract 76, King County, Washington",1758,47,40,0,0,0,57,48,0,0,0,42,15
53,033,007600,3,"Block Group 3, Census Tract 76, King County, Washington",1336,77,0,56,0,0,0,0,0,31,22,0,0
53,033,007600,1,"Block Group 1, Census Tract 76, King County, Washington",1475,20,0,0,0,0,0,0,44,0,0,0,45
53,033,007900,1,"Block Group 1, Census Tract 79, King County, Washington",1247,14,14,0,0,19,0,0,0,64,0,0,0
53,033,007900,3,"Block Group 3, Census Tract 79, King County, Washington",812,0,16,3,0,21,1,0,0,17,19,0,0
53,033,011500,2,"Block Group 2, Census Tract 115, King County, Washington",1422,0,32,19,12,7,0,12,73,35,9,0,0
53,033,011600,2,"Block Group 2, Census Tract 116, King County, Washington",992,0,0,0,0,16,0,0,0,51,0,0,0
53,033,011600,1,"Block Group 1, Census Tract 116, King County, Washington",1900,0,16,35,14,0,15,0,17,31,0,0,0
53,033,011600,4,"Block Group 4, Census Tract 116, King County, Washington",806,0,0,46,15,12,0,17,17,31,41,13,0
53,033,011600,5,"Block Group 5, Census Tract 116, King County, Washington",1001,19,17,17,16,0,0,17,14,31,0,0,17
53,033,020600,1,"Block Group 1, Census Tract 206, King County, Washington",1021,9,0,8,15,24,0,0,8,16,0,0,10
53,033,020600,4,"Block Group 4, Census Tract 206, King County, Washington",719,0,21,28,23,7,8,0,11,35,17,17,8
53,033,020600,3,"Block Group 3, Census Tract 206, King County, Washington",1069,10,17,21,8,21,24,7,0,42,17,31,9
53,033,021700,1,"Block Group 1, Census Tract 217, King County, Washington",1348,28,12,17,0,0,0,16,0,32,0,0,0
53,033,021803,1,"Block Group 1, Census Tract 218.03, King County, Washington",1677,34,46,24,22,8,0,10,24,40,15,17,29
53,033,021803,3,"Block Group 3, Census Tract 218.03, King County, Washington",1150,44,10,23,0,26,9,0,32,42,40,0,18
53,033,021803,4,"Block Group 4, Census Tract 218.03, King County, Washington",999,8,44,9,0,7,0,8,39,24,9,0,18
53,033,021906,3,"Block Group 3, Census Tract 219.06, King County, Washington",1730,0,9,1,0,10,0,10,0,37,20,10,0
53,033,021906,1,"Block Group 1, Census Tract 219.06, King County, Washington",1978,25,56,35,0,0,0,14,32,36,11,0,9
53,033,022400,6,"Block Group 6, Census Tract 224, King County, Washington",1259,0,14,32,0,0,12,0,43,31,30,15,12
53,033,022400,2,"Block Group 2, Census Tract 224, King County, Washington",1436,0,0,27,0,0,0,15,12,0,15,0,15
53,033,022400,4,"Block Group 4, Census Tract 224, King County, Washington",2056,0,0,55,36,0,20,0,69,36,36,37,0
53,033,021804,2,"Block Group 2, Census Tract 218.04, King County, Washington",2579,18,17,61,0,0,0,3,18,116,0,0,0
53,033,021804,3,"Block Group 3, Census Tract 218.04, King County, Washington",1041,46,22,0,0,0,0,21,38,0,0,0,9
53,033,022005,3,"Block Group 3, Census Tract 220.05, King County, Washington",1610,18,0,19,0,21,0,0,19,20,0,0,0
53,033,022201,2,"Block Group 2, Census Tract 222.01, King County, Washington",1063,10,21,55,0,13,0,10,25,18,21,11,17
53,033,022201,1,"Block Group 1, Census Tract 222.01, King County, Washington",1036,28,30,49,0,0,0,38,9,19,13,0,0
53,033,022201,4,"Block Group 4, Census Tract 222.01, King County, Washington",1233,9,8,0,0,0,0,8,10,31,18,0,0
53,033,023100,3,"Block Group 3, Census Tract 231, King County, Washington",1393,35,29,26,5,22,23,34,42,41,24,33,15
53,033,023100,1,"Block Group 1, Census Tract 231, King County, Washington",1156,11,10,13,24,7,48,0,50,7,22,32,18
53,033,023300,2,"Block Group 2, Census Tract 233, King County, Washington",1805,38,0,0,0,0,0,0,20,28,0,0,13
